School Name,Board,State,City/District,Email ID,Contact Number
Vivekananda Vidyalaya Branch 90,State Board,Rajasthan,District 588,contact@vivekanandavidyalayabranch90.edu.in,063-6116012
Navodaya Primary School Branch 88,IB,Sikkim,District 657,contact@navodayaprimaryschoolbranch88.edu.in,073-2600038
Tagore Vidyalaya Branch 81,CBSE,Tamil Nadu,District 639,contact@tagorevidyalayabranch81.edu.in,062-6429787
Tagore Academy Branch 100,State Board,Telangana,District 364,contact@tagoreacademybranch100.edu.in,087-3578923
Government Academy Branch 52,CBSE,Tripura,District 516,contact@governmentacademybranch52.edu.in,041-8121365
Greenwood Public School Branch 88,State Board,Uttar Pradesh,District 141,contact@greenwoodpublicschoolbranch88.edu.in,073-1677390
Carmel Public School Branch 78,ICSE,Uttarakhand,District 568,contact@carmelpublicschoolbranch78.edu.in,049-2997308
Vivekananda Primary School Branch 37,State Board,West Bengal,District 130,contact@vivekanandaprimaryschoolbranch37.edu.in,046-6076169
Army Vidyalaya Branch 74,State Board,Andaman and Nicobar Islands,District 493,contact@armyvidyalayabranch74.edu.in,045-7696584
St. Joseph's International Branch 92,IGCSE,Chandigarh,District 208,contact@stjosephsinternationalbranch92.edu.in,073-5834256
Bharatiya International Branch 35,IGCSE,Dadra and Nagar Haveli,District 278,contact@bharatiyainternationalbranch35.edu.in,067-5066855
Vidya Mandir Convent Branch 97,NIOS,Lakshadweep,District 674,contact@vidyamandirconventbranch97.edu.in,075-9955490
Global Primary School Branch 39,NIOS,Delhi,District 698,contact@globalprimaryschoolbranch39.edu.in,040-1900722
Vivekananda Secondary School Branch 83,CBSE,Puducherry,District 550,contact@vivekanandasecondaryschoolbranch83.edu.in,094-5990836
Model Primary School Branch 31,ICSE,Ladakh,District 304,contact@modelprimaryschoolbranch31.edu.in,033-5496790
Vivekananda International Branch 57,NIOS,Jammu and Kashmir,District 546,contact@vivekanandainternationalbranch57.edu.in,016-3025736
Government Secondary School Branch 38,ICSE,Andhra Pradesh,District 613,contact@governmentsecondaryschoolbranch38.edu.in,025-5549630
Global Secondary School Branch 88,CBSE,Arunachal Pradesh,District 510,contact@globalsecondaryschoolbranch88.edu.in,021-3420573
Adarsh Public School Branch 15,CBSE,Assam,District 578,contact@adarshpublicschoolbranch15.edu.in,033-4329707
Army Secondary School Branch 2,IGCSE,Bihar,District 424,contact@armysecondaryschoolbranch2.edu.in,099-8699907
Vivekananda Secondary School Branch 96,CBSE,Chhattisgarh,District 279,contact@vivekanandasecondaryschoolbranch96.edu.in,024-8240337
Bharatiya High School Branch 72,CBSE,Goa,District 673,contact@bharatiyahighschoolbranch72.edu.in,063-4055430
Heritage Academy Branch 47,CBSE,Gujarat,District 56,contact@heritageacademybranch47.edu.in,041-1876631
Heritage Primary School Branch 20,CBSE,Haryana,District 259,contact@heritageprimaryschoolbranch20.edu.in,026-6273149
Heritage Public School Branch 42,State Board,Himachal Pradesh,District 16,contact@heritagepublicschoolbranch42.edu.in,079-5654749
Government Vidyalaya Branch 36,CBSE,Jharkhand,District 389,contact@governmentvidyalayabranch36.edu.in,032-2272136
Greenwood Convent Branch 86,ICSE,Karnataka,District 325,contact@greenwoodconventbranch86.edu.in,040-9069131
KV Public School Branch 64,CBSE,Kerala,District 477,contact@kvpublicschoolbranch64.edu.in,034-9862916
Tagore Vidyalaya Branch 82,CBSE,Madhya Pradesh,District 471,contact@tagorevidyalayabranch82.edu.in,074-4957366
Heritage International Branch 10,State Board,Maharashtra,District 391,contact@heritageinternationalbranch10.edu.in,056-1351986
Vivekananda Public School Branch 26,IB,Manipur,District 79,contact@vivekanandapublicschoolbranch26.edu.in,021-8623349
Model Vidyalaya Branch 100,NIOS,Meghalaya,District 80,contact@modelvidyalayabranch100.edu.in,046-8108313
Navodaya Public School Branch 29,NIOS,Mizoram,District 138,contact@navodayapublicschoolbranch29.edu.in,080-2322882
Bharatiya International Branch 39,CBSE,Nagaland,District 290,contact@bharatiyainternationalbranch39.edu.in,031-7359880
Bharatiya Secondary School Branch 90,NIOS,Odisha,District 156,contact@bharatiyasecondaryschoolbranch90.edu.in,064-6772035
Vivekananda Convent Branch 82,ICSE,Punjab,District 633,contact@vivekanandaconventbranch82.edu.in,087-5708529
Model Public School Branch 43,ICSE,Rajasthan,District 210,contact@modelpublicschoolbranch43.edu.in,077-5864805
KV Public School Branch 81,NIOS,Sikkim,District 552,contact@kvpublicschoolbranch81.edu.in,082-5364346
Bharatiya Public School Branch 62,CBSE,Tamil Nadu,District 42,contact@bharatiyapublicschoolbranch62.edu.in,035-1423808
Army Secondary School Branch 89,State Board,Telangana,District 378,contact@armysecondaryschoolbranch89.edu.in,031-1137985
Tagore International Branch 92,IGCSE,Tripura,District 521,contact@tagoreinternationalbranch92.edu.in,052-3291365
Navodaya Secondary School Branch 27,NIOS,Uttar Pradesh,District 91,contact@navodayasecondaryschoolbranch27.edu.in,070-5327245
Model Academy Branch 11,NIOS,Uttarakhand,District 16,contact@modelacademybranch11.edu.in,012-7376010
St. Joseph's Primary School Branch 16,NIOS,West Bengal,District 276,contact@stjosephsprimaryschoolbranch16.edu.in,041-3460626
Saraswati Convent Branch 83,NIOS,Andaman and Nicobar Islands,District 568,contact@saraswaticonventbranch83.edu.in,033-3250766
Saraswati Primary School Branch 77,IGCSE,Chandigarh,District 77,contact@saraswatiprimaryschoolbranch77.edu.in,048-2183533
Bharatiya Vidyalaya Branch 30,ICSE,Dadra and Nagar Haveli,District 555,contact@bharatiyavidyalayabranch30.edu.in,099-7458892
St. Joseph's Primary School Branch 62,CBSE,Lakshadweep,District 117,contact@stjosephsprimaryschoolbranch62.edu.in,024-8748649
Heritage Vidyalaya Branch 41,NIOS,Delhi,District 412,contact@heritagevidyalayabranch41.edu.in,049-5285650
Vidya Mandir Primary School Branch 28,CBSE,Puducherry,District 584,contact@vidyamandirprimaryschoolbranch28.edu.in,025-9711538
Vivekananda Convent Branch 44,NIOS,Ladakh,District 232,contact@vivekanandaconventbranch44.edu.in,069-7957305
Model Secondary School Branch 16,ICSE,Jammu and Kashmir,District 353,contact@modelsecondaryschoolbranch16.edu.in,061-6835501
KV Convent Branch 60,CBSE,Andhra Pradesh,District 214,contact@kvconventbranch60.edu.in,029-5398160
Model Public School Branch 56,CBSE,Arunachal Pradesh,District 550,contact@modelpublicschoolbranch56.edu.in,024-7794601
Global Primary School Branch 18,IB,Assam,District 11,contact@globalprimaryschoolbranch18.edu.in,062-2868267
Army International Branch 93,NIOS,Bihar,District 534,contact@armyinternationalbranch93.edu.in,018-1338833
Greenwood Academy Branch 54,IGCSE,Chhattisgarh,District 453,contact@greenwoodacademybranch54.edu.in,034-6379457
Vidya Mandir Public School Branch 7,State Board,Goa,District 680,contact@vidyamandirpublicschoolbranch7.edu.in,029-8119961
Model Vidyalaya Branch 5,IB,Gujarat,District 541,contact@modelvidyalayabranch5.edu.in,068-6559042
KV Vidyalaya Branch 14,CBSE,Haryana,District 77,contact@kvvidyalayabranch14.edu.in,029-1415677
Carmel Primary School Branch 1,ICSE,Himachal Pradesh,District 53,contact@carmelprimaryschoolbranch1.edu.in,014-3243018
Navodaya Academy Branch 63,NIOS,Jharkhand,District 577,contact@navodayaacademybranch63.edu.in,037-8433006
Saraswati Convent Branch 59,NIOS,Karnataka,District 620,contact@saraswaticonventbranch59.edu.in,037-5052117
Vidya Mandir Academy Branch 1,IGCSE,Kerala,District 374,contact@vidyamandiracademybranch1.edu.in,089-5872916
Army International Branch 19,CBSE,Madhya Pradesh,District 114,contact@armyinternationalbranch19.edu.in,038-5814626
Model Public School Branch 36,State Board,Maharashtra,District 210,contact@modelpublicschoolbranch36.edu.in,028-8344733
Government Convent Branch 94,ICSE,Manipur,District 523,contact@governmentconventbranch94.edu.in,035-5608708
Tagore Public School Branch 61,ICSE,Meghalaya,District 653,contact@tagorepublicschoolbranch61.edu.in,040-8151501
Global Vidyalaya Branch 58,CBSE,Mizoram,District 310,contact@globalvidyalayabranch58.edu.in,048-2781642
Army Convent Branch 80,IB,Nagaland,District 183,contact@armyconventbranch80.edu.in,036-2399294
Tagore Convent Branch 16,ICSE,Odisha,District 471,contact@tagoreconventbranch16.edu.in,093-3903757
KV Vidyalaya Branch 44,IB,Punjab,District 549,contact@kvvidyalayabranch44.edu.in,084-1194463
Navodaya Academy Branch 11,State Board,Rajasthan,District 242,contact@navodayaacademybranch11.edu.in,045-7669440
Greenwood Convent Branch 13,ICSE,Sikkim,District 111,contact@greenwoodconventbranch13.edu.in,034-8405739
Army International Branch 8,IGCSE,Tamil Nadu,District 13,contact@armyinternationalbranch8.edu.in,035-1507276
Bharatiya International Branch 20,CBSE,Telangana,District 421,contact@bharatiyainternationalbranch20.edu.in,051-4534038
Vidya Mandir High School Branch 6,ICSE,Tripura,District 114,contact@vidyamandirhighschoolbranch6.edu.in,084-9843176
Army Convent Branch 87,NIOS,Uttar Pradesh,District 136,contact@armyconventbranch87.edu.in,050-1914445
KV International Branch 14,NIOS,Uttarakhand,District 585,contact@kvinternationalbranch14.edu.in,087-4459628
Bharatiya Secondary School Branch 74,NIOS,West Bengal,District 573,contact@bharatiyasecondaryschoolbranch74.edu.in,029-1104456
Greenwood International Branch 4,IGCSE,Andaman and Nicobar Islands,District 420,contact@greenwoodinternationalbranch4.edu.in,027-5051951
Model Academy Branch 17,NIOS,Chandigarh,District 383,contact@modelacademybranch17.edu.in,020-9307575
Government Academy Branch 54,IB,Dadra and Nagar Haveli,District 148,contact@governmentacademybranch54.edu.in,027-4074590
Tagore Secondary School Branch 59,State Board,Lakshadweep,District 14,contact@tagoresecondaryschoolbranch59.edu.in,058-2647267
Adarsh Primary School Branch 30,ICSE,Delhi,District 558,contact@adarshprimaryschoolbranch30.edu.in,061-8047907
Vidya Mandir Convent Branch 74,IB,Puducherry,District 673,contact@vidyamandirconventbranch74.edu.in,053-9420392
Adarsh Public School Branch 4,State Board,Ladakh,District 319,contact@adarshpublicschoolbranch4.edu.in,075-5486625
Saraswati Primary School Branch 39,ICSE,Jammu and Kashmir,District 217,contact@saraswatiprimaryschoolbranch39.edu.in,076-2903285
KV Convent Branch 71,NIOS,Andhra Pradesh,District 530,contact@kvconventbranch71.edu.in,058-5924800
Greenwood Vidyalaya Branch 21,ICSE,Arunachal Pradesh,District 277,contact@greenwoodvidyalayabranch21.edu.in,012-9817975
St. Joseph's High School Branch 21,IB,Assam,District 32,contact@stjosephshighschoolbranch21.edu.in,018-2158976
Vidya Mandir Convent Branch 57,NIOS,Bihar,District 57,contact@vidyamandirconventbranch57.edu.in,076-1753161
KV Secondary School Branch 2,CBSE,Chhattisgarh,District 178,contact@kvsecondaryschoolbranch2.edu.in,028-7458108
Tagore International Branch 18,CBSE,Goa,District 226,contact@tagoreinternationalbranch18.edu.in,061-5181683
Government Academy Branch 38,IGCSE,Gujarat,District 670,contact@governmentacademybranch38.edu.in,062-6680888
Adarsh Convent Branch 71,IGCSE,Haryana,District 70,contact@adarshconventbranch71.edu.in,078-4126922
Vidya Mandir Convent Branch 18,State Board,Himachal Pradesh,District 688,contact@vidyamandirconventbranch18.edu.in,017-3462137
Saraswati High School Branch 33,IB,Jharkhand,District 124,contact@saraswatihighschoolbranch33.edu.in,090-3776667
Global Academy Branch 55,IB,Karnataka,District 96,contact@globalacademybranch55.edu.in,096-2847247
St. Joseph's Academy Branch 95,ICSE,Kerala,District 538,contact@stjosephsacademybranch95.edu.in,017-8964853
Vidya Mandir High School Branch 4,NIOS,Madhya Pradesh,District 194,contact@vidyamandirhighschoolbranch4.edu.in,066-1509451
St. Joseph's Vidyalaya Branch 3,CBSE,Maharashtra,District 190,contact@stjosephsvidyalayabranch3.edu.in,071-1522860
Carmel International Branch 78,IGCSE,Manipur,District 418,contact@carmelinternationalbranch78.edu.in,061-8731159
Vivekananda Public School Branch 13,CBSE,Meghalaya,District 202,contact@vivekanandapublicschoolbranch13.edu.in,031-9206943
Saraswati Secondary School Branch 69,ICSE,Mizoram,District 5,contact@saraswatisecondaryschoolbranch69.edu.in,018-6322304
Navodaya International Branch 32,IGCSE,Nagaland,District 462,contact@navodayainternationalbranch32.edu.in,094-8383355
Greenwood Primary School Branch 8,NIOS,Odisha,District 25,contact@greenwoodprimaryschoolbranch8.edu.in,091-3457102
Heritage International Branch 63,State Board,Punjab,District 360,contact@heritageinternationalbranch63.edu.in,024-2652836
Vidya Mandir Primary School Branch 23,IB,Rajasthan,District 211,contact@vidyamandirprimaryschoolbranch23.edu.in,071-9865992
Navodaya Primary School Branch 35,State Board,Sikkim,District 459,contact@navodayaprimaryschoolbranch35.edu.in,025-2662876
Navodaya High School Branch 35,NIOS,Tamil Nadu,District 434,contact@navodayahighschoolbranch35.edu.in,091-1850812
Vidya Mandir Vidyalaya Branch 54,ICSE,Telangana,District 549,contact@vidyamandirvidyalayabranch54.edu.in,023-1589159
Government Public School Branch 83,NIOS,Tripura,District 627,contact@governmentpublicschoolbranch83.edu.in,083-7428906
Greenwood Academy Branch 9,IGCSE,Uttar Pradesh,District 383,contact@greenwoodacademybranch9.edu.in,053-4098321
Heritage Primary School Branch 14,CBSE,Uttarakhand,District 332,contact@heritageprimaryschoolbranch14.edu.in,088-2370386
Bharatiya High School Branch 41,CBSE,West Bengal,District 174,contact@bharatiyahighschoolbranch41.edu.in,088-6292975
Carmel Primary School Branch 36,ICSE,Andaman and Nicobar Islands,District 68,contact@carmelprimaryschoolbranch36.edu.in,066-2445793
Army High School Branch 51,NIOS,Chandigarh,District 212,contact@armyhighschoolbranch51.edu.in,046-3397352
KV Secondary School Branch 44,CBSE,Dadra and Nagar Haveli,District 353,contact@kvsecondaryschoolbranch44.edu.in,039-7959774
Tagore Primary School Branch 69,CBSE,Lakshadweep,District 414,contact@tagoreprimaryschoolbranch69.edu.in,065-3015782
Vivekananda High School Branch 97,ICSE,Delhi,District 249,contact@vivekanandahighschoolbranch97.edu.in,061-2553302
Vivekananda Public School Branch 20,ICSE,Puducherry,District 32,contact@vivekanandapublicschoolbranch20.edu.in,081-2165738
Bharatiya Academy Branch 89,ICSE,Ladakh,District 312,contact@bharatiyaacademybranch89.edu.in,097-7166273
Bharatiya Primary School Branch 90,IGCSE,Jammu and Kashmir,District 98,contact@bharatiyaprimaryschoolbranch90.edu.in,081-2204143
Global International Branch 100,IGCSE,Andhra Pradesh,District 315,contact@globalinternationalbranch100.edu.in,046-6689331
St. Joseph's Public School Branch 84,ICSE,Arunachal Pradesh,District 65,contact@stjosephspublicschoolbranch84.edu.in,097-9230499
New Era Vidyalaya Branch 36,NIOS,Assam,District 15,contact@neweravidyalayabranch36.edu.in,078-6398171
Vidya Mandir Academy Branch 77,CBSE,Bihar,District 180,contact@vidyamandiracademybranch77.edu.in,055-7021123
Army Public School Branch 97,NIOS,Chhattisgarh,District 81,contact@armypublicschoolbranch97.edu.in,070-8181877
Bharatiya Secondary School Branch 94,IB,Goa,District 492,contact@bharatiyasecondaryschoolbranch94.edu.in,084-4471376
Global High School Branch 15,IGCSE,Gujarat,District 142,contact@globalhighschoolbranch15.edu.in,088-3462944
Vivekananda High School Branch 43,IB,Haryana,District 444,contact@vivekanandahighschoolbranch43.edu.in,020-5367525
Adarsh Vidyalaya Branch 46,IB,Himachal Pradesh,District 107,contact@adarshvidyalayabranch46.edu.in,096-2006593
Vivekananda Academy Branch 51,State Board,Jharkhand,District 465,contact@vivekanandaacademybranch51.edu.in,086-1919388
New Era Vidyalaya Branch 5,IB,Karnataka,District 408,contact@neweravidyalayabranch5.edu.in,049-2915797
Tagore High School Branch 24,ICSE,Kerala,District 684,contact@tagorehighschoolbranch24.edu.in,032-6312229
Army International Branch 81,IB,Madhya Pradesh,District 111,contact@armyinternationalbranch81.edu.in,094-4749084
Saraswati Convent Branch 94,IB,Maharashtra,District 327,contact@saraswaticonventbranch94.edu.in,085-4586033
Saraswati Convent Branch 18,NIOS,Manipur,District 18,contact@saraswaticonventbranch18.edu.in,020-9675052
Carmel Vidyalaya Branch 65,State Board,Meghalaya,District 367,contact@carmelvidyalayabranch65.edu.in,046-1239401
KV High School Branch 37,ICSE,Mizoram,District 147,contact@kvhighschoolbranch37.edu.in,034-8416073
Adarsh Primary School Branch 6,IGCSE,Nagaland,District 492,contact@adarshprimaryschoolbranch6.edu.in,056-4198849
Model International Branch 12,State Board,Odisha,District 518,contact@modelinternationalbranch12.edu.in,051-6924000
Vivekananda Convent Branch 56,ICSE,Punjab,District 188,contact@vivekanandaconventbranch56.edu.in,026-4852635
Carmel Public School Branch 87,CBSE,Rajasthan,District 17,contact@carmelpublicschoolbranch87.edu.in,071-4936346
KV High School Branch 81,NIOS,Sikkim,District 166,contact@kvhighschoolbranch81.edu.in,091-5236539
Adarsh Secondary School Branch 42,CBSE,Tamil Nadu,District 335,contact@adarshsecondaryschoolbranch42.edu.in,054-4499218
Global Academy Branch 79,CBSE,Telangana,District 140,contact@globalacademybranch79.edu.in,061-2900496
Model Secondary School Branch 18,State Board,Tripura,District 593,contact@modelsecondaryschoolbranch18.edu.in,073-4476711
Vivekananda Convent Branch 82,State Board,Uttar Pradesh,District 358,contact@vivekanandaconventbranch82.edu.in,023-8156366
Carmel Secondary School Branch 36,ICSE,Uttarakhand,District 357,contact@carmelsecondaryschoolbranch36.edu.in,082-6985186
Army Primary School Branch 83,ICSE,West Bengal,District 610,contact@armyprimaryschoolbranch83.edu.in,096-3935315
St. Joseph's Public School Branch 71,NIOS,Andaman and Nicobar Islands,District 540,contact@stjosephspublicschoolbranch71.edu.in,070-3269191
New Era Vidyalaya Branch 88,State Board,Chandigarh,District 322,contact@neweravidyalayabranch88.edu.in,028-5149995
Bharatiya Primary School Branch 15,IB,Dadra and Nagar Haveli,District 224,contact@bharatiyaprimaryschoolbranch15.edu.in,098-6573026
Tagore Academy Branch 37,IB,Lakshadweep,District 212,contact@tagoreacademybranch37.edu.in,052-4633389
St. Joseph's Secondary School Branch 87,CBSE,Delhi,District 88,contact@stjosephssecondaryschoolbranch87.edu.in,046-2641766
Heritage International Branch 77,IB,Puducherry,District 226,contact@heritageinternationalbranch77.edu.in,038-5672495
Government Public School Branch 95,NIOS,Ladakh,District 360,contact@governmentpublicschoolbranch95.edu.in,038-7894251
Adarsh Primary School Branch 99,NIOS,Jammu and Kashmir,District 203,contact@adarshprimaryschoolbranch99.edu.in,053-9858839
Vidya Mandir High School Branch 83,IB,Andhra Pradesh,District 172,contact@vidyamandirhighschoolbranch83.edu.in,044-3055390
KV Vidyalaya Branch 10,CBSE,Arunachal Pradesh,District 179,contact@kvvidyalayabranch10.edu.in,081-8809669
Carmel Primary School Branch 37,NIOS,Assam,District 346,contact@carmelprimaryschoolbranch37.edu.in,080-8775620
Greenwood Secondary School Branch 70,IB,Bihar,District 232,contact@greenwoodsecondaryschoolbranch70.edu.in,038-2178478
Government Convent Branch 17,NIOS,Chhattisgarh,District 254,contact@governmentconventbranch17.edu.in,093-6931264
Heritage Primary School Branch 9,ICSE,Goa,District 395,contact@heritageprimaryschoolbranch9.edu.in,026-9102918
KV Primary School Branch 27,NIOS,Gujarat,District 319,contact@kvprimaryschoolbranch27.edu.in,060-7162721
Model Secondary School Branch 27,State Board,Haryana,District 265,contact@modelsecondaryschoolbranch27.edu.in,099-9949186
Saraswati International Branch 83,ICSE,Himachal Pradesh,District 597,contact@saraswatiinternationalbranch83.edu.in,088-8950382
Model Primary School Branch 61,IB,Jharkhand,District 153,contact@modelprimaryschoolbranch61.edu.in,012-3283520
Vidya Mandir Vidyalaya Branch 84,State Board,Karnataka,District 696,contact@vidyamandirvidyalayabranch84.edu.in,040-9272175
Tagore Secondary School Branch 1,IGCSE,Kerala,District 11,contact@tagoresecondaryschoolbranch1.edu.in,059-4225403
KV Primary School Branch 19,IB,Madhya Pradesh,District 499,contact@kvprimaryschoolbranch19.edu.in,085-5584026
Model Secondary School Branch 56,State Board,Maharashtra,District 196,contact@modelsecondaryschoolbranch56.edu.in,050-7083527
Navodaya Academy Branch 1,NIOS,Manipur,District 560,contact@navodayaacademybranch1.edu.in,048-7437818
Vivekananda Vidyalaya Branch 63,ICSE,Meghalaya,District 545,contact@vivekanandavidyalayabranch63.edu.in,051-3606360
Heritage Convent Branch 42,IGCSE,Mizoram,District 46,contact@heritageconventbranch42.edu.in,012-3712426
Vivekananda High School Branch 24,NIOS,Nagaland,District 581,contact@vivekanandahighschoolbranch24.edu.in,030-8722692
Bharatiya Vidyalaya Branch 54,CBSE,Odisha,District 559,contact@bharatiyavidyalayabranch54.edu.in,071-3092012
Vivekananda Convent Branch 11,State Board,Punjab,District 143,contact@vivekanandaconventbranch11.edu.in,075-8103121
St. Joseph's Vidyalaya Branch 69,IB,Rajasthan,District 379,contact@stjosephsvidyalayabranch69.edu.in,030-5024435
Global International Branch 63,NIOS,Sikkim,District 410,contact@globalinternationalbranch63.edu.in,051-5379776
Carmel Public School Branch 1,ICSE,Tamil Nadu,District 113,contact@carmelpublicschoolbranch1.edu.in,031-1251423
Vivekananda High School Branch 17,CBSE,Telangana,District 471,contact@vivekanandahighschoolbranch17.edu.in,099-4864733
Adarsh Secondary School Branch 35,CBSE,Tripura,District 612,contact@adarshsecondaryschoolbranch35.edu.in,065-2441285
Saraswati Public School Branch 26,State Board,Uttar Pradesh,District 124,contact@saraswatipublicschoolbranch26.edu.in,027-6880202
Government Secondary School Branch 20,IGCSE,Uttarakhand,District 674,contact@governmentsecondaryschoolbranch20.edu.in,095-1594908
St. Joseph's Vidyalaya Branch 34,IB,West Bengal,District 47,contact@stjosephsvidyalayabranch34.edu.in,035-7400338
Tagore International Branch 55,State Board,Andaman and Nicobar Islands,District 129,contact@tagoreinternationalbranch55.edu.in,067-2358023
Greenwood Academy Branch 98,IGCSE,Chandigarh,District 564,contact@greenwoodacademybranch98.edu.in,065-3437026
New Era Convent Branch 17,State Board,Dadra and Nagar Haveli,District 646,contact@neweraconventbranch17.edu.in,040-4179957
Bharatiya Vidyalaya Branch 85,ICSE,Lakshadweep,District 97,contact@bharatiyavidyalayabranch85.edu.in,078-6142788
KV High School Branch 34,IB,Delhi,District 94,contact@kvhighschoolbranch34.edu.in,057-7000369
Vivekananda Convent Branch 68,State Board,Puducherry,District 640,contact@vivekanandaconventbranch68.edu.in,032-6675811
Bharatiya Public School Branch 45,IB,Ladakh,District 100,contact@bharatiyapublicschoolbranch45.edu.in,098-5674035
Heritage Convent Branch 13,ICSE,Jammu and Kashmir,District 58,contact@heritageconventbranch13.edu.in,026-4159443
Vivekananda Primary School Branch 71,State Board,Andhra Pradesh,District 209,contact@vivekanandaprimaryschoolbranch71.edu.in,092-6833947
Vivekananda High School Branch 47,IB,Arunachal Pradesh,District 349,contact@vivekanandahighschoolbranch47.edu.in,039-6590853
Saraswati International Branch 88,State Board,Assam,District 498,contact@saraswatiinternationalbranch88.edu.in,065-5985284
Saraswati Vidyalaya Branch 23,ICSE,Bihar,District 407,contact@saraswatividyalayabranch23.edu.in,055-4665905
St. Joseph's High School Branch 3,NIOS,Chhattisgarh,District 562,contact@stjosephshighschoolbranch3.edu.in,094-5980653
Saraswati Public School Branch 92,CBSE,Goa,District 149,contact@saraswatipublicschoolbranch92.edu.in,034-6129273
Model Convent Branch 36,IB,Gujarat,District 388,contact@modelconventbranch36.edu.in,054-8324626
Heritage Primary School Branch 81,NIOS,Haryana,District 125,contact@heritageprimaryschoolbranch81.edu.in,050-9435028
Heritage International Branch 22,IGCSE,Himachal Pradesh,District 545,contact@heritageinternationalbranch22.edu.in,068-5014483
Army Convent Branch 21,IB,Jharkhand,District 274,contact@armyconventbranch21.edu.in,067-8654083
KV Public School Branch 83,ICSE,Karnataka,District 168,contact@kvpublicschoolbranch83.edu.in,053-5514716
New Era Secondary School Branch 85,State Board,Kerala,District 177,contact@newerasecondaryschoolbranch85.edu.in,055-6669899
Bharatiya High School Branch 1,NIOS,Madhya Pradesh,District 686,contact@bharatiyahighschoolbranch1.edu.in,024-4274197
Tagore Secondary School Branch 6,NIOS,Maharashtra,District 214,contact@tagoresecondaryschoolbranch6.edu.in,034-6689030
KV Academy Branch 72,State Board,Manipur,District 271,contact@kvacademybranch72.edu.in,050-8672238
Navodaya Convent Branch 28,NIOS,Meghalaya,District 418,contact@navodayaconventbranch28.edu.in,038-7471810
Army Academy Branch 6,NIOS,Mizoram,District 274,contact@armyacademybranch6.edu.in,022-8814028
Army Public School Branch 79,State Board,Nagaland,District 460,contact@armypublicschoolbranch79.edu.in,036-8213950
Model Primary School Branch 96,IB,Odisha,District 626,contact@modelprimaryschoolbranch96.edu.in,014-5795986
New Era Convent Branch 63,IB,Punjab,District 242,contact@neweraconventbranch63.edu.in,052-1054611
Vidya Mandir Convent Branch 89,State Board,Rajasthan,District 231,contact@vidyamandirconventbranch89.edu.in,052-5327571
Army Primary School Branch 23,ICSE,Sikkim,District 547,contact@armyprimaryschoolbranch23.edu.in,031-3651598
Saraswati Convent Branch 55,NIOS,Tamil Nadu,District 520,contact@saraswaticonventbranch55.edu.in,095-5046161
Adarsh Primary School Branch 46,IB,Telangana,District 130,contact@adarshprimaryschoolbranch46.edu.in,086-2824678
Global High School Branch 90,IGCSE,Tripura,District 501,contact@globalhighschoolbranch90.edu.in,089-6955197
Greenwood Public School Branch 16,ICSE,Uttar Pradesh,District 182,contact@greenwoodpublicschoolbranch16.edu.in,067-9922794
Navodaya Secondary School Branch 65,CBSE,Uttarakhand,District 463,contact@navodayasecondaryschoolbranch65.edu.in,031-2148380
New Era Vidyalaya Branch 66,IB,West Bengal,District 91,contact@neweravidyalayabranch66.edu.in,091-7804656
Government International Branch 95,IGCSE,Andaman and Nicobar Islands,District 422,contact@governmentinternationalbranch95.edu.in,076-7667244
Greenwood Vidyalaya Branch 16,NIOS,Chandigarh,District 408,contact@greenwoodvidyalayabranch16.edu.in,077-1553432
Vivekananda High School Branch 82,ICSE,Dadra and Nagar Haveli,District 361,contact@vivekanandahighschoolbranch82.edu.in,037-4914565
Adarsh Public School Branch 98,NIOS,Lakshadweep,District 329,contact@adarshpublicschoolbranch98.edu.in,026-6375029
Model Secondary School Branch 24,IB,Delhi,District 65,contact@modelsecondaryschoolbranch24.edu.in,061-5846632
Tagore Vidyalaya Branch 65,ICSE,Puducherry,District 291,contact@tagorevidyalayabranch65.edu.in,033-1887956
Model Convent Branch 71,ICSE,Ladakh,District 540,contact@modelconventbranch71.edu.in,092-7754843
Tagore Vidyalaya Branch 85,IGCSE,Jammu and Kashmir,District 542,contact@tagorevidyalayabranch85.edu.in,014-1247819
Vivekananda Primary School Branch 62,ICSE,Andhra Pradesh,District 103,contact@vivekanandaprimaryschoolbranch62.edu.in,022-4418217
Greenwood High School Branch 83,IGCSE,Arunachal Pradesh,District 459,contact@greenwoodhighschoolbranch83.edu.in,037-4167055
Model Secondary School Branch 72,CBSE,Assam,District 592,contact@modelsecondaryschoolbranch72.edu.in,022-3587482
New Era Secondary School Branch 76,CBSE,Bihar,District 155,contact@newerasecondaryschoolbranch76.edu.in,023-7983560
Vivekananda Convent Branch 73,State Board,Chhattisgarh,District 681,contact@vivekanandaconventbranch73.edu.in,077-7619059
Model Secondary School Branch 63,IGCSE,Goa,District 422,contact@modelsecondaryschoolbranch63.edu.in,071-7122782
New Era Public School Branch 57,State Board,Gujarat,District 418,contact@newerapublicschoolbranch57.edu.in,033-3641376
KV High School Branch 48,NIOS,Haryana,District 624,contact@kvhighschoolbranch48.edu.in,012-1723187
Vidya Mandir Academy Branch 93,State Board,Himachal Pradesh,District 4,contact@vidyamandiracademybranch93.edu.in,050-4645889
Navodaya High School Branch 59,ICSE,Jharkhand,District 269,contact@navodayahighschoolbranch59.edu.in,013-6623673
Bharatiya High School Branch 5,CBSE,Karnataka,District 79,contact@bharatiyahighschoolbranch5.edu.in,096-2695299
